location,climate_zone,architecture_id,practice,month,hours,pue_mean,withdrawal_wue_l_per_kwh,consumption_wue_l_per_kwh,blowdown_wue_l_per_kwh,component_balance_error_l_per_kwh,reproduction_seed
Atlanta_GA,3A,climate_responsive_hybrid,central,1,744,1.117337936427061,0.06246409797815064,0.06246409797815064,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,2,672,1.1218759513502996,0.11631345820837093,0.11631345820837093,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,3,744,1.1235585716428003,0.1537833583567512,0.1537833583567512,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,4,720,1.1450598587518468,0.4368544882277173,0.4368544882277173,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,5,744,1.179334172149611,0.8718635642391552,0.8718635642391552,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,6,720,1.2038155105819173,1.1316890778500306,1.1316890778500306,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,7,744,1.2538693637874796,1.7320920115452378,1.7320920115452378,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,8,744,1.2797434892073094,2.0245229974108807,2.0245229974108807,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,9,720,1.2118009539648056,1.2558007068301578,1.2558007068301578,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,10,744,1.1528619544724237,0.5243631243313216,0.5243631243313216,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,11,720,1.1342679125213397,0.2945223389412939,0.2945223389412939,0.0,0.0,20260820
Atlanta_GA,3A,climate_responsive_hybrid,central,12,744,1.1190302450720673,0.09187676478076058,0.09187676478076058,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,1,744,1.626082565044886,2.8442993596985415,2.8442993596985415,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,2,672,1.6354094043257899,2.86575146233683,2.86575146233683,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,3,744,1.6505230126051078,2.9018598930866184,2.9018598930866184,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,4,720,1.6640009720467257,2.9338077396099775,2.9338077396099775,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,5,744,1.6807696789957796,2.971780689780056,2.971780689780056,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,6,720,1.695654565885783,3.0047494790125913,3.0047494790125913,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,7,744,1.7069287016455836,3.0313317749763926,3.0313317749763926,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,8,744,1.7114370362091043,3.0406458326161245,3.0406458326161245,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,9,720,1.692318626168728,2.997199335413259,2.997199335413259,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,10,744,1.666217033058469,2.9385601518964193,2.9385601518964193,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,11,720,1.6482410278700437,2.8961159475517344,2.8961159475517344,0.0,0.0,20260820
Atlanta_GA,3A,water_cooled_evaporative,central,12,744,1.6357716164128573,2.8674262778508433,2.8674262778508433,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,1,744,1.111019287023031,0.0,0.0,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,2,672,1.1112551588678734,0.0,0.0,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,3,744,1.1111593851308672,0.00023375629581502222,0.00023375629581502222,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,4,720,1.1125233300506525,0.020167290789744125,0.020167290789744125,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,5,744,1.1141659503663353,0.04236907279831909,0.04236907279831909,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,6,720,1.119538396014809,0.11450592877974522,0.11450592877974522,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,7,744,1.1342604468588846,0.3130336984779541,0.3130336984779541,8.572805188132631e-20,8.572805188132631e-20,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,8,744,1.1459359884135423,0.4667805989717004,0.4667805989717004,8.590544402164798e-20,8.590544402164798e-20,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,9,720,1.131052380579229,0.2695432448991837,0.2695432448991837,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,10,744,1.1152486797533265,0.05544818090805226,0.05544818090805226,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,11,720,1.1149778953269787,0.05387803375463282,0.05387803375463282,0.0,0.0,20260820
Seattle_WA,4C,climate_responsive_hybrid,central,12,744,1.1109412238554455,0.0,0.0,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,1,744,1.6273396510172966,2.8541988574081656,2.8541988574081656,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,2,672,1.631574707785231,2.862229661017224,2.862229661017224,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,3,744,1.6358890793325809,2.8748552854379894,2.8748552854379894,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,4,720,1.6431935226708065,2.8923550511622422,2.8923550511622422,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,5,744,1.6502058551819097,2.9091435253074893,2.9091435253074893,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,6,720,1.6568766632773793,2.924700220620245,2.924700220620245,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,7,744,1.6634258103000126,2.9402787999211224,2.9402787999211224,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,8,744,1.6685698067070598,2.9514822436158528,2.9514822436158528,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,9,720,1.659726652255358,2.9317896958946643,2.9317896958946643,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,10,744,1.647266130711784,2.9015399764420633,2.9015399764420633,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,11,720,1.6386498553606714,2.8821084514733153,2.8821084514733153,0.0,0.0,20260820
Seattle_WA,4C,water_cooled_evaporative,central,12,744,1.6298060263943992,2.861122366491106,2.861122366491106,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,1,744,1.1150876215829384,0.027765173619179427,0.027765173619179427,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,2,672,1.1147639940634153,0.02193023293838499,0.02193023293838499,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,3,744,1.1122648321190123,0.009969159604874489,0.009969159604874489,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,4,720,1.118358615714673,0.09148817183658114,0.09148817183658114,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,5,744,1.1296120879286256,0.23624893915146633,0.23624893915146633,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,6,720,1.1530561496352283,0.5263467218619508,0.5263467218619508,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,7,744,1.23938529164796,1.574987303035961,1.574987303035961,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,8,744,1.2133002367995973,1.2817672495332244,1.2817672495332244,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,9,720,1.1716039800381866,0.7784725159305184,0.7784725159305184,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,10,744,1.1191547080011846,0.10437129607350448,0.10437129607350448,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,11,720,1.1346318212411572,0.29830009270957236,0.29830009270957236,0.0,0.0,20260820
Council_Bluffs_IA,5A,climate_responsive_hybrid,central,12,744,1.1143699607423432,0.013614803966238492,0.013614803966238492,0.0,0.0,20260820
Council_Bluffs_IA,5A,water_cooled_evaporative,central,1,744,1.6068088442679362,2.7981294811919395,2.7981294811919395,0.0,0.0,20260820
Council_Bluffs_IA,5A,water_cooled_evaporative,central,2,672,1.6113248590532958,2.808039000366488,2.808039000366488,0.0,0.0,20260820
Council_Bluffs_IA,5A,water_cooled_evaporative,central,3,744,1.625281798815458,2.8450175284563475,2.8450175284563475,0.0,0.0,20260820
