location,withdrawal_mg,discharge_mg,consumption_mg,year,operator,unit,report_publication_year,report_printed_page,report_file,is_named_location,consumptive_fraction,balance_derived_consumption_mg,balance_error_mg,qa_flag,reported_cooling_note
Other data center locations,698.5,57.9,640.6,2023,Google,million US gallons,2024,79,2024_Google-Environmental-Report.pdf,False,0.917108088761632,640.6,0.0,,not specified in location table
"Ashburn, VA",59.5,3.5,56.0,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.9411764705882352,56.0,0.0,,not specified in location table
"Berkeley County, SC",853.8,77.3,776.5,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.9094635746076364,776.5,0.0,,not specified in location table
"Bristow, VA",105.7,21.3,84.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7984862819299906,84.4,0.0,,not specified in location table
"Council Bluffs, IA",1410.3,400.1,1010.2,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.716301496135574,1010.2,-1.1368683772161605e-13,,not specified in location table
"The Dalles, OR",461.1,99.7,361.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7837779223595749,361.4,5.684341886080803e-14,,not specified in location table
"Douglas County, GA",444.1,77.2,366.9,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.8261652780905201,366.9,5.684341886080803e-14,,not specified in location table
"Henderson, NV",359.9,152.5,207.4,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.576271186440678,207.4,-2.8421709430404014e-14,,not specified in location table
"Jackson County, AL",201.6,18.8,182.8,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.906746031746032,182.8,-2.8421709430404014e-14,,not specified in location table
"Lancaster, OH",207.4,106.3,101.1,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.487463837994214,101.1,1.4210854715202004e-14,,not specified in location table
"Leesburg, VA",246.7,55.1,191.6,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.776651803810296,191.6,0.0,,not specified in location table
"Lenoir, NC",351.7,23.9,327.8,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.9320443559852148,327.8,0.0,,not specified in location table
"Lockbourne, OH",177.3,34.0,143.3,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.8082346305696559,143.3,0.0,,not specified in location table
"Mayes County, OK",1108.3,275.1,833.2,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7517820084814582,833.1999999999999,-1.1368683772161605e-13,,not specified in location table
"Midlothian, TX",221.0,38.7,182.3,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.8248868778280544,182.3,0.0,,not specified in location table
"Montgomery County, TN",387.9,66.1,321.8,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.8295952565094097,321.79999999999995,-5.684341886080803e-14,,not specified in location table
"New Albany, OH",405.3,52.6,352.7,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.8702195904268443,352.7,0.0,,not specified in location table
"Omaha, NE",44.3,12.2,32.1,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.724604966139955,32.099999999999994,-7.105427357601002e-15,,not specified in location table
"Papillion, NE",532.3,115.4,416.9,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.783204959609243,416.9,0.0,,not specified in location table
"Pflugerville, TX",0.1,0.1,0.01,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.0999999999999999,0.0,-0.01,,air-cooled
"Phoenix, AZ",0.2,0.2,0.03,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.15,0.0,-0.03,,air-cooled
"Sterling, VA",201.2,43.0,158.2,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.7862823061630219,158.2,0.0,,not specified in location table
"Storey County, NV",14.9,13.4,1.5,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.1006711409395973,1.5,0.0,,air-cooled
"Wilmer, TX",1.9,1.7,0.2,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,True,0.1052631578947368,0.1999999999999999,-5.551115123125783e-17,,air-cooled
Other data center locations,828.9,60.0,786.9,2024,Google,million US gallons,2025,114,2025_Google-Environmental Report.pdf,False,0.9493304379297864,768.9,-18.0,SOURCE_TABLE_BALANCE_INCONSISTENCY_REPORTED_786.9_VS_BALANCE_768.9,not specified in location table
"Ashburn, VA",76.5,23.3,53.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.6954248366013073,53.2,0.0,,not specified in location table
"Berkeley County, SC",988.5,86.8,901.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.912190187152251,901.7,0.0,,not specified in location table
"Bristow, VA",359.6,92.0,267.6,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7441601779755284,267.6,0.0,,not specified in location table
"Council Bluffs, IA",1746.4,400.4,1346.0,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7707283554741181,1346.0,0.0,,not specified in location table
"The Dalles, OR",654.3,185.3,469.0,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7167965764939631,468.99999999999994,-5.684341886080803e-14,,not specified in location table
"Douglas County, GA",440.6,73.5,367.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.833182024512029,367.1,0.0,,not specified in location table
"Dublin, Ireland",0.5,0.4,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.2,0.0999999999999999,-2.7755575615628914e-17,,air-cooled
"Eemshaven, Netherlands",532.2,126.5,405.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7623074032318676,405.7000000000001,5.684341886080803e-14,,not specified in location table
"Frankfurt, Germany",1.2,1.0,0.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.1666666666666666,0.1999999999999999,-5.551115123125783e-17,,not specified in location table
"Fredericia, Denmark",88.8,17.0,71.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8085585585585585,71.8,0.0,,not specified in location table
"Hamina, Finland",4.3,3.9,0.4,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.0930232558139535,0.3999999999999999,-1.1102230246251563e-16,,not specified in location table
"Hanau, Germany",3.4,1.5,1.9,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5588235294117647,1.9,0.0,,not specified in location table
"Henderson, NV",401.7,162.3,239.4,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5959671396564601,239.4,-2.8421709430404014e-14,,not specified in location table
"Inzai, Japan",94.6,21.4,73.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7737843551797041,73.19999999999999,-1.4210854715202004e-14,,not specified in location table
"Jackson County, AL",191.0,17.4,173.6,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.9089005235602092,173.6,0.0,,not specified in location table
"Lancaster, OH",307.1,171.3,135.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.4422012373819602,135.8,0.0,,not specified in location table
"Leesburg, VA",238.1,47.4,190.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8009239815203696,190.7,0.0,,not specified in location table
"Lenoir, NC",378.3,34.0,344.3,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.9101242400211472,344.3,0.0,,not specified in location table
"Lockbourne, OH",460.8,101.3,359.5,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7801649305555556,359.5,0.0,,not specified in location table
"Mayes County, OK",1396.7,315.3,1081.4,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.7742535977661631,1081.4,0.0,,not specified in location table
"Mesa, AZ",19.4,9.7,9.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.5,9.7,0.0,,not specified in location table
"Middenmeer, Netherlands",13.6,4.3,9.3,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.6838235294117648,9.3,0.0,,not specified in location table
"Midlothian, TX",263.6,43.4,220.2,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8353566009104703,220.2,2.8421709430404014e-14,,not specified in location table
"Montgomery County, TN",499.5,74.8,424.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8502502502502503,424.7,0.0,,not specified in location table
"Montreal, Canada",0.3,0.2,0.1,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.3333333333333333,0.0999999999999999,-2.7755575615628914e-17,,air-cooled
"New Albany, OH",1008.1,172.4,835.7,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.8289852197202658,835.7,0.0,,not specified in location table
"New Haven, IN",62.2,24.4,37.8,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.607717041800643,37.8,7.105427357601002e-15,,not specified in location table
"Omaha, NE",241.8,57.9,183.9,2025,Google,million US gallons,2026,97,google_2026_environmental_report.pdf,True,0.760545905707196,183.9,0.0,,not specified in location table
