location_reported,data_year,estimated_consumption,discharge,withdrawal,balance_error_mgd,estimated_consumption_fraction,discharge_fraction,highlight,consumption_value_status,source_ids,source_locators,scientific_boundary
"Midlothian, TX",2025,0.6032876723449645,0.1189041095390249,0.7221917818839894,-4.163336342344337e-17,0.8353566012218548,0.1646433987781451,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Sterling, VA",2025,0.5473972611832989,0.1605479453765595,0.7079452065598585,8.326672684688674e-17,0.7732198143459216,0.2267801856540783,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Omaha, NE",2025,0.5038356173865765,0.1586301374173718,0.6624657539112047,-8.927436012662325e-10,0.7605459065799639,0.2394540947676432,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Leesburg, VA",2025,0.5224657541428839,0.1298630135658376,0.6523287677087215,2.7755575615628914e-17,0.8009239819025976,0.1990760180974023,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Jackson County, AL",2025,0.4756164390488432,0.0476712329183701,0.5232876719672134,6.245004513516506e-17,0.9089005236084426,0.0910994763915572,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Inzai, Japan",2025,0.2005479455654351,0.0586301369451829,0.259178082510618,3.4694469519536136e-17,0.7737843556166406,0.2262156443833592,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Fredericia, Denmark",2025,0.196712328754316,0.0465753427835119,0.243287671537828,9.714451465470121e-17,0.8085585574924204,0.1914414425075791,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Ashburn, VA",2025,0.1457534245386277,0.0638356162016888,0.2095890416330602,8.927436984107472e-10,0.6954248342516244,0.3045751614888795,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Red Oak, TX",2025,0.1380821918091331,0.0454794517559101,0.1835616444577869,8.927436984107472e-10,0.7522388035747164,0.2477611915618291,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
"Storey County, NV",2025,0.0183561644457786,0.1643835621876786,0.1827397266334573,1.1102230246251563e-16,0.1004497751197676,0.8995502248802318,False,OPERATOR_ESTIMATE,GOOGLE_ENV_2026,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116",Global accounting comparison only; source systems and cross-country hydrology are outside scope.
