location,year,withdrawal_mg,discharge_mg,consumption_mg,consumptive_fraction,latitude,longitude,bws_score,bws_label,risk_class,high_stress_screen,reported_cooling_note,qa_flag,report_file,report_printed_page,source_ids,source_locators,scientific_boundary
"Council Bluffs, IA",2025,1746.4,400.4,1346.0,0.7707283554741181,41.2619,-95.8608,0.1278995263148407,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Douglas County, GA",2022,378.3,73.1,305.2,0.8067671160454665,33.729,-84.745,2.4115917257827646,Medium - High (20-40%),Medium-high,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Douglas County, GA",2023,418.8,73.2,345.6,0.8252148997134671,33.729,-84.745,2.4115917257827646,Medium - High (20-40%),Medium-high,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Douglas County, GA",2024,444.1,77.2,366.9,0.8261652780905201,33.729,-84.745,2.4115917257827646,Medium - High (20-40%),Medium-high,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Douglas County, GA",2025,440.6,73.5,367.1,0.833182024512029,33.729,-84.745,2.4115917257827646,Medium - High (20-40%),Medium-high,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Henderson, NV",2022,133.2,51.1,82.1,0.6163663663663663,36.0395,-114.9817,0.6701146863701557,Low (<10%),Low,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Henderson, NV",2023,273.8,115.0,158.8,0.5799853907962016,36.0395,-114.9817,0.6701146863701557,Low (<10%),Low,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Henderson, NV",2024,359.9,152.5,207.4,0.576271186440678,36.0395,-114.9817,0.6701146863701557,Low (<10%),Low,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Henderson, NV",2025,401.7,162.3,239.4,0.5959671396564601,36.0395,-114.9817,0.6701146863701557,Low (<10%),Low,False,not specified in location table,,google_2026_environmental_report.pdf,97,GOOGLE_ENV_2026; WRI_AQUEDUCT_4,"Google (2026), printed p. 97, Water use by data center location; endnote 224 on p. 116; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Jackson County, AL",2022,113.4,19.4,94.0,0.8289241622574955,34.779,-85.999,0.3123497093174933,Low (<10%),Low,False,not specified in location table,,2023_Google-Environmental-Report.pdf,95,GOOGLE_ENV_2023; WRI_AQUEDUCT_4,"Google (2023), printed p. 95, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Jackson County, AL",2023,159.8,17.6,142.2,0.8898623279098872,34.779,-85.999,0.3123497093174933,Low (<10%),Low,False,not specified in location table,,2024_Google-Environmental-Report.pdf,79,GOOGLE_ENV_2024; WRI_AQUEDUCT_4,"Google (2024), printed p. 79, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
"Jackson County, AL",2024,201.6,18.8,182.8,0.906746031746032,34.779,-85.999,0.3123497093174933,Low (<10%),Low,False,not specified in location table,,2025_Google-Environmental Report.pdf,114,GOOGLE_ENV_2025; WRI_AQUEDUCT_4,"Google (2025), printed p. 114, Water use by data center location; Kuzma et al.; World Resources Institute (2023), baseline annual indicators; baseline period 1979-2019",Operator-reported water plus locality-centroid Aqueduct screen; not facility-source impact.
