location,year,electricity_mwh,withdrawal_ml,operator,withdrawal_intensity_l_per_total_kwh,electricity_boundary,intensity_label,report_file,report_printed_page_electricity,report_printed_page_water,source_ids,source_locators,scientific_boundary
Forest City (NC),2023,507068,55.0,Meta,0.1084667145234958,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Forest City (NC),2024,535555,16.0,Meta,0.0298755496634332,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2019,695000,322.0,Meta,0.4633093525179856,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2020,941000,300.0,Meta,0.3188097768331562,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2021,1014447,254.0,Meta,0.2503827208321381,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2022,959419,346.0,Meta,0.36063492592913,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2023,1029570,404.0,Meta,0.3923968258593393,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Fort Worth (TX),2024,1109004,311.0,Meta,0.2804318108861645,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Gallatin (TN),2021,0,0.0,Meta,,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Gallatin (TN),2022,6264,0.0,Meta,0.0,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Gallatin (TN),2023,116520,3.0,Meta,0.0257466529351184,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Gallatin (TN),2024,359730,205.0,Meta,0.5698718483306925,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Henrico (VA),2019,10000,,Meta,,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Henrico (VA),2020,204000,42.0,Meta,0.2058823529411764,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Henrico (VA),2021,515270,80.0,Meta,0.1552584082131698,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Henrico (VA),2022,701003,55.0,Meta,0.0784590080213636,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Henrico (VA),2023,805061,42.0,Meta,0.0521699597918667,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Henrico (VA),2024,948859,92.0,Meta,0.0969585575939101,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Huntsville (AL),2021,85286,39.0,Meta,0.4572849002180897,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Huntsville (AL),2022,368841,104.0,Meta,0.2819643152469492,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Huntsville (AL),2023,614198,152.0,Meta,0.2474771979068639,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Huntsville (AL),2024,865803,209.0,Meta,0.2413944049627917,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Kansas City (MO),2024,22963,41.0,Meta,1.7854809911596916,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Los Lunas (NM),2019,289000,92.0,Meta,0.3183391003460207,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Los Lunas (NM),2020,571000,140.0,Meta,0.2451838879159369,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Los Lunas (NM),2021,717932,153.0,Meta,0.2131121053247383,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Los Lunas (NM),2022,929488,161.0,Meta,0.1732136401976141,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Los Lunas (NM),2023,1110100,283.0,Meta,0.2549319881091793,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Los Lunas (NM),2024,1143067,252.0,Meta,0.220459518120985,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Mesa (AZ),2024,24657,57.0,Meta,2.311716753863001,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
New Albany (OH),2019,38000,33.0,Meta,0.868421052631579,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
New Albany (OH),2020,270000,35.0,Meta,0.1296296296296296,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
New Albany (OH),2021,511414,121.0,Meta,0.2365989198574931,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
New Albany (OH),2022,702694,87.0,Meta,0.1238092256373328,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
New Albany (OH),2023,793063,72.0,Meta,0.0907872388448332,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
New Albany (OH),2024,521217,86.0,Meta,0.1649984555377127,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Prineville (OR),2019,573000,208.0,Meta,0.363001745200698,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Prineville (OR),2020,686000,445.0,Meta,0.6486880466472303,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Prineville (OR),2021,898409,354.0,Meta,0.3940298906177475,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Prineville (OR),2022,982177,240.0,Meta,0.244355141690347,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Prineville (OR),2023,1375321,180.0,Meta,0.1308785367197912,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Prineville (OR),2024,1728291,328.0,Meta,0.1897828548548826,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Sarpy (NE),2019,178000,62.0,Meta,0.348314606741573,total facility electricity; not IT energy,withdrawal intensity; not WUE,2024_Meta-Environmental-Data-Index.pdf,29,32,META_EDI_2024,"Meta (2024), printed p. 29 electricity; printed p. 32 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Sarpy (NE),2020,519000,108.0,Meta,0.2080924855491329,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Sarpy (NE),2021,736810,106.0,Meta,0.1438634111914876,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Sarpy (NE),2022,1007635,101.0,Meta,0.1002347080043865,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Sarpy (NE),2023,1148091,123.0,Meta,0.1071343647846729,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Sarpy (NE),2024,1258239,142.0,Meta,0.1128561425929414,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Stanton Springs (GA),2021,215279,105.0,Meta,0.4877391663840876,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Stanton Springs (GA),2022,636266,77.0,Meta,0.1210185677059594,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Stanton Springs (GA),2023,968565,61.0,Meta,0.062979769039765,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
Stanton Springs (GA),2024,1184380,146.0,Meta,0.1232712474037048,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,"Meta (2025), printed p. 6 electricity; printed p. 9 water",Electricity is total-facility electricity; the derived ratio is not WUE.
