location,location_label,architecture_id,month,daily_records,water_years,mean_withdrawal_ml_day,mean_consumption_ml_day,flow_q10_ml_day,flow_median_ml_day,pressure_p50_pct,pressure_p90_pct,pressure_p95_pct,pressure_p99_pct,architecture_label,hydrology_source_id,utility_source_id,model_source_id
Atlanta_GA,Atlanta,climate_responsive_hybrid,1,930,30,0.37478458786890356,0.37478458786890356,2363.3919770001407,4318.205837893633,0.008679243409123783,0.015857910643524254,0.017506590877826467,0.01893540380920201,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,2,848,30,0.6978807492502254,0.6978807492502254,2314.460466089165,5284.603178385409,0.013206208375905294,0.03015306415794874,0.031823290865950246,0.03445278661529379,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,3,930,30,0.9227001501405072,0.9227001501405072,2365.8385525456897,5994.11008659456,0.015393446847165296,0.03900097701711993,0.04244916044740949,0.04456386771962531,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,4,900,30,2.6211269293663038,2.6211269293663038,2219.0440198127617,5382.46620020736,0.048697508388725684,0.11811964548533241,0.12878296421695232,0.14041221291637812,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,5,930,30,5.231181385434931,5.231181385434931,2325.9593711532443,5345.767567024128,0.0978570188999191,0.22490444804375567,0.2425736397466431,0.2717311697763677,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,6,900,30,6.7901344671001835,6.7901344671001835,2471.041301004288,4452.767492898816,0.15249245503900558,0.274788384327713,0.29746652537083623,0.34180610837191233,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,7,930,30,10.392552069271428,10.392552069271428,2495.507056459776,3987.918139244544,0.2606009377925735,0.4164505182371518,0.43323860618615484,0.4728758384716114,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,8,930,30,12.147137984465285,12.147137984465285,2471.041301004288,3877.822239694848,0.31324950230053356,0.4915797230717434,0.51003713592507,0.5804896748557284,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,9,900,30,7.534804240980947,7.534804240980947,2419.6632145477633,3547.5345410457603,0.21239551451301159,0.3113988837652849,0.3252267937833061,0.334038557034307,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,10,930,30,3.1461787459879296,3.1461787459879296,2471.041301004288,3400.7400083128323,0.09251453325738962,0.12732198141363524,0.13396743344858608,0.13988538170174789,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,11,900,30,1.7671340336477637,1.7671340336477637,2471.041301004288,3792.19209560064,0.04659927527663573,0.07151373928592612,0.0806170890754026,0.0893966214792538,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,climate_responsive_hybrid,12,930,30,0.5512605886845628,0.5512605886845628,2471.041301004288,3792.19209560064,0.01453672637849981,0.022308837511559116,0.024817659370631913,0.027325369462991366,Climate-responsive hybrid,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,1,930,30,17.065796158191247,17.065796158191247,2363.3919770001407,4318.205837893633,0.395208884307809,0.7220891127781902,0.7971616790451956,0.8622225994360095,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,2,848,30,17.19450877402098,17.19450877402098,2314.460466089165,5284.603178385409,0.32537688714728447,0.7429165036927686,0.7840678433968516,0.8488538226374501,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,3,930,30,17.41115935851971,17.41115935851971,2365.8385525456897,5994.11008659456,0.2904711309433346,0.7359403007354393,0.8010068027762554,0.8409108878764512,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,4,900,30,17.602846437659863,17.602846437659863,2219.0440198127617,5382.46620020736,0.3270405383499057,0.7932626068024173,0.8648748435260727,0.9429740293182078,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,5,930,30,17.830684138680336,17.830684138680336,2325.9593711532443,5345.767567024128,0.33354943485911226,0.7665955123670469,0.8268216358804037,0.9262062050470644,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,6,900,30,18.028496874075547,18.028496874075547,2471.041301004288,4452.767492898816,0.4048829610534803,0.7295910783339943,0.7898038468567355,0.907529944536521,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,7,930,30,18.187990649858357,18.187990649858357,2495.507056459776,3987.918139244544,0.45607733195104705,0.7288294618433399,0.7582102707736409,0.8275793348292121,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,8,930,30,18.243874995696746,18.243874995696746,2471.041301004288,3877.822239694848,0.4704717086233645,0.7383071658204181,0.7660284885937908,0.8718416698570783,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,9,900,30,17.983196012479553,17.983196012479553,2419.6632145477633,3547.5345410457603,0.5069209560727314,0.7432107040500107,0.7762135543356912,0.7972444478652732,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,10,930,30,17.631360911378515,17.631360911378515,2471.041301004288,3400.7400083128323,0.5184565967489455,0.7135194747336973,0.7507609580400378,0.7839254696366584,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,11,900,30,17.376695685310406,17.376695685310406,2471.041301004288,3792.19209560064,0.4582229815169248,0.7032134864863698,0.7927291293276406,0.8790605902899576,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Atlanta_GA,Atlanta,water_cooled_evaporative,12,930,30,17.20455766710506,17.20455766710506,2471.041301004288,3792.19209560064,0.45368370676855313,0.6962472727636212,0.7745463045407869,0.8528106386542258,Water-cooled evaporative,USGS_02336000,ATLANTA_DWM_OVERVIEW,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,1,930,30,0.16659104171507638,0.16659104171507638,37921.920956006405,47830.55191547904,0.00034829648567395337,0.0004393001132731127,0.0004586883245574885,0.0005478511712628991,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,2,848,30,0.1315813976303094,0.1315813976303094,37677.26340145152,49665.48357464064,0.00026493529944706973,0.0003492328947256828,0.0003674918748380529,0.0004154063849426311,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,3,930,30,0.05981495762924641,0.05981495762924641,38631.427864215555,67036.16994803712,8.922788649114617e-05,0.00015483552629065486,0.00016694245707231508,0.00019670742351362392,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,4,900,30,0.5489290310194866,0.5489290310194866,65788.41641980724,81715.62322132992,0.00067175530134879,0.0008343865777256553,0.0008868232041521575,0.00104356404953719,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,5,930,30,1.4174936349087979,1.4174936349087979,69238.08793903104,92969.8707308544,0.0015246806559647789,0.0020472743790339787,0.002134391580859962,0.002336204230913774,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,6,900,30,3.1580803311717047,3.1580803311717047,73862.11572011828,99086.3095947264,0.003187201485339994,0.004275647166514798,0.004467268863900122,0.004643225185477329,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,7,930,30,9.449923818215765,9.449923818215765,69458.27973813044,89544.66496708608,0.01055330747140466,0.01360519499734491,0.014096753775671917,0.01532742275608772,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,8,930,30,7.690603497199346,7.690603497199346,67770.14261170177,85263.15776237569,0.009019862188512657,0.011348070405080454,0.011861945291348248,0.012726378551446503,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,9,900,30,4.67083509558311,4.67083509558311,70706.03326636032,87587.40453064704,0.005332770300264776,0.0066059922750684764,0.007072172684076458,0.008678267920278827,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,10,930,30,0.6262277764410265,0.6262277764410265,64320.47109247795,88076.7196397568,0.0007110026111353431,0.0009736069772775441,0.0014469702015942581,0.0018879800722352033,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,11,900,30,1.789800556257434,1.789800556257434,36943.29073778688,84896.17143054336,0.0021082229340833526,0.004844724226006114,0.005151784212161431,0.005500401188924235,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,climate_responsive_hybrid,12,930,30,0.0816888237974304,0.0816888237974304,37921.920956006405,50154.7986837504,0.00016287339584895326,0.0002154132009615188,0.00022408755804721755,0.00026589248593140535,Climate-responsive hybrid,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,1,930,30,16.788776887151638,16.788776887151638,37921.920956006405,47830.55191547904,0.03510075889050532,0.04427195791750229,0.04622587062579219,0.05521155871891713,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
Council_Bluffs_IA,Council Bluffs,water_cooled_evaporative,2,848,30,16.84823400219893,16.84823400219893,37677.26340145152,49665.48357464064,0.03392342687427631,0.0447172445160915,0.04705520090745791,0.0531903757336957,Water-cooled evaporative,USGS_06610000,CB_WATER_WORKS_2024,LEI_MASANET_2022
