location,year,electricity_mwh,withdrawal_ml,operator,withdrawal_intensity_l_per_total_kwh,electricity_boundary,intensity_label,report_file,report_printed_page_electricity,report_printed_page_water,source_id,source_url,source_locator,electricity_status,withdrawal_status,intensity_status,previous_year,previous_electricity_mwh,previous_withdrawal_ml,electricity_change_fraction,withdrawal_change_fraction,electricity_log2_ratio,withdrawal_log2_ratio,derived_status
Forest City (NC),2021,580842,64.0,Meta,0.1101848695514442,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,595000.0,68.0,-0.02379495798319331,-0.05882352941176472,-0.034743891738168574,-0.08746284125033943,within-site consecutive annual change
Forest City (NC),2022,492786,63.0,Meta,0.1278445410380976,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,580842.0,64.0,-0.15160060739409342,-0.015625,-0.2371845068863627,-0.02272007650008353,within-site consecutive annual change
Forest City (NC),2023,507068,55.0,Meta,0.1084667145234958,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,492786.0,63.0,0.028982154525493797,-0.12698412698412698,0.041217962017282964,-0.19592020997525686,within-site consecutive annual change
Forest City (NC),2024,535555,16.0,Meta,0.0298755496634332,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,507068.0,55.0,0.05617984175692414,-0.7090909090909091,0.07885551151455854,-1.7813597135246597,within-site consecutive annual change
Fort Worth (TX),2020,941000,300.0,Meta,0.3188097768331562,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2019.0,695000.0,322.0,0.35395683453237403,-0.06832298136645965,0.4371817451176669,-0.10209818761873612,within-site consecutive annual change
Fort Worth (TX),2021,1014447,254.0,Meta,0.2503827208321381,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,941000.0,300.0,0.07805207226354938,-0.15333333333333332,0.10842686508673136,-0.24013400372371502,within-site consecutive annual change
Fort Worth (TX),2022,959419,346.0,Meta,0.36063492592913,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,1014447.0,254.0,-0.054244332133664974,0.36220472440944884,-0.08046057758770259,0.4459435408645588,within-site consecutive annual change
Fort Worth (TX),2023,1029570,404.0,Meta,0.3923968258593393,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,959419.0,346.0,0.07311821008339425,0.16763005780346818,0.1018090059245506,0.22358325511507007,within-site consecutive annual change
Fort Worth (TX),2024,1109004,311.0,Meta,0.2804318108861645,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,1029570.0,404.0,0.0771525976864127,-0.23019801980198018,0.10722264758917562,-0.37744071262119216,within-site consecutive annual change
Gallatin (TN),2024,359730,205.0,Meta,0.5698718483306925,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2023.0,116520.0,3.0,2.0872811534500513,67.33333333333333,1.6263368727224108,6.0945175987842894,within-site consecutive annual change
Henrico (VA),2021,515270,80.0,Meta,0.1552584082131698,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2020.0,204000.0,42.0,1.5258333333333334,0.9047619047619047,1.3367594462884482,0.9296106721086019,within-site consecutive annual change
Henrico (VA),2022,701003,55.0,Meta,0.0784590080213636,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2021.0,515270.0,80.0,0.36045762415820826,-0.3125,0.4440920198959882,-0.5405683813627028,within-site consecutive annual change
Henrico (VA),2023,805061,42.0,Meta,0.0521699597918667,total facility electricity; not IT energy,withdrawal intensity; not WUE,Meta_2025-Environmental-Data-Index.pdf,6,9,META_EDI_2025,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 (electricity); printed p. 9 (water),operator-reported total-facility electricity,operator-reported water withdrawal,study-derived; not WUE because IT electricity is unavailable,2022.0,701003.0,55.0,0.14844159012158298,-0.23636363636363633,0.19967748293714627,-0.38904229074589924,within-site consecutive annual change
