first_location,first_architecture,first_month,first_consumption_ml_day,first_pressure_p95_pct,second_location,second_architecture,second_month,second_consumption_ml_day,second_pressure_p95_pct,consumption_difference_pct,pressure_ratio,hydrology_source_ids,model_source_id
Council Bluffs,Water-cooled evaporative,6,17.81615391222984,0.0252018762350568,Seattle,Water-cooled evaporative,9,17.590738175367985,2.2074385722956293,1.265232316538976,87.59024731757852,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,6,17.81615391222984,0.0252018762350568,Seattle,Water-cooled evaporative,8,17.708893461695116,2.1745776179476533,0.6020404351193651,86.28633827360562,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,5,17.51495985985757,0.0263731574825628,Seattle,Water-cooled evaporative,9,17.590738175367985,2.2074385722956293,0.43078530733023357,83.70020062084437,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,5,17.51495985985757,0.0263731574825628,Seattle,Water-cooled evaporative,8,17.708893461695116,2.1745776179476533,1.0951198179436268,82.45420061611597,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,9,17.738677344656903,0.0268583640401175,Seattle,Water-cooled evaporative,9,17.590738175367985,2.2074385722956293,0.833992108963406,82.18812467499686,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,7,18.099548338074445,0.0269996754768422,Seattle,Water-cooled evaporative,9,17.590738175367985,2.2074385722956293,2.8111760205425713,81.75796683885939,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,9,17.738677344656903,0.0268583640401175,Seattle,Water-cooled evaporative,8,17.708893461695116,2.1745776179476533,0.16790362879427767,80.96463413406545,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,7,18.099548338074445,0.0269996754768422,Seattle,Water-cooled evaporative,8,17.708893461695116,2.1745776179476533,2.158368093404535,80.54087982697433,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,8,17.959874001573567,0.0277012126452436,Seattle,Water-cooled evaporative,9,17.590738175367985,2.2074385722956293,2.055336391409205,79.6874346464632,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,4,17.322878630919362,0.0279860052292725,Seattle,Water-cooled evaporative,9,17.590738175367985,2.2074385722956293,1.522730551601876,78.87651539444137,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,8,17.959874001573567,0.0277012126452436,Seattle,Water-cooled evaporative,8,17.708893461695116,2.1745776179476533,1.3974515626137558,78.5011705370608,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,4,17.322878630919362,0.0279860052292725,Seattle,Water-cooled evaporative,8,17.708893461695116,2.1745776179476533,2.1797795080235556,77.70232300511086,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,6,17.81615391222984,0.0252018762350568,Seattle,Water-cooled evaporative,7,17.641672799526734,1.6856059412636832,0.9793421945200733,66.88414487644135,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,5,17.51495985985757,0.0263731574825628,Seattle,Water-cooled evaporative,7,17.641672799526734,1.6856059412636832,0.7182592099348104,63.9136949141626,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,9,17.738677344656903,0.0268583640401175,Seattle,Water-cooled evaporative,7,17.641672799526734,1.6856059412636832,0.5468533151903096,62.75906971645579,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,7,18.099548338074445,0.0269996754768422,Seattle,Water-cooled evaporative,7,17.641672799526734,1.6856059412636832,2.529762234920072,62.43060005330207,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,6,17.81615391222984,0.0252018762350568,Seattle,Water-cooled evaporative,10,17.40923985865238,1.5614516299414214,2.2839612611234488,61.95775327907455,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,8,17.959874001573567,0.0277012126452436,Seattle,Water-cooled evaporative,7,17.641672799526734,1.6856059412636832,1.7717340445648637,60.84953618639175,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,4,17.322878630919362,0.0279860052292725,Seattle,Water-cooled evaporative,7,17.641672799526734,1.6856059412636832,1.8070518154940742,60.230316097439704,USGS_06610000; USGS_12117500,LEI_MASANET_2022
Council Bluffs,Water-cooled evaporative,5,17.51495985985757,0.0263731574825628,Seattle,Water-cooled evaporative,10,17.40923985865238,1.5614516299414214,0.6035983071105272,59.206093581089405,USGS_06610000; USGS_12117500,LEI_MASANET_2022
