year,locations,withdrawal_mg,discharge_mg,consumption_mg,withdrawal_mg_share_bws_ge_3,consumption_mg_share_bws_ge_3,source_ids,screen_source_id
2022,16,5013.7,1022.1,3991.6,0.0004188523445758622,5.010522096402445e-05,GOOGLE_ENV_2023,WRI_AQUEDUCT_4
2023,18,6070.7,1225.5,4845.2,0.0003129787339186585,4.1277965821844306e-05,GOOGLE_ENV_2024,WRI_AQUEDUCT_4
2024,23,7796.5,1688.2,6108.34,0.015494131982299751,0.014067651767910761,GOOGLE_ENV_2025,WRI_AQUEDUCT_4
2025,26,10807.6,2360.7000000000003,8446.9,0.041285761871275764,0.03363364074394157,GOOGLE_ENV_2026,WRI_AQUEDUCT_4
